is_black_box,is_combinational,is_sequential,is_physical_only,is_mapped,is_fixed,is_hard_macro,is_hierarchical,area,width,height,dont_touch,is_dont_touch,is_buffer,is_inverter,is_latch,is_ff,is_clock_gate,preserve_boundary,is_scan,is_dont_scan,is_size_only,is_multibit,mbit_width,is_map_to_multibit,is_memory,is_dont_ungroup,is_pad_cell,is_user_hierarchy,delay_rise_ap
FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,1.39968,2.43,0.576,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,TRUE,FALSE,FALSE,FALSE,FALSE,0.035764
FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,1.39968,2.43,0.576,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,TRUE,FALSE,FALSE,FALSE,FALSE,0.03603
FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,1.39968,2.43,0.576,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,TRUE,FALSE,FALSE,FALSE,FALSE,0.035741
FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,1.39968,2.43,0.576,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,TRUE,FALSE,FALSE,FALSE,FALSE,0.035764
FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,1.39968,2.43,0.576,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,TRUE,FALSE,FALSE,FALSE,FALSE,0.03603
FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,1.14048,1.98,0.576,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,TRUE,FALSE,FALSE,FALSE,FALSE,0.035741
FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,1.39968,2.43,0.576,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,TRUE,FALSE,FALSE,FALSE,FALSE,0.035565
FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,1.39968,2.43,0.576,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,TRUE,FALSE,FALSE,FALSE,FALSE,0.035811
FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,1.39968,2.43,0.576,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,TRUE,FALSE,FALSE,FALSE,FALSE,0.035741
FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,1.39968,2.43,0.576,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,TRUE,FALSE,FALSE,FALSE,FALSE,0.035764
FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,1.39968,2.43,0.576,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,TRUE,FALSE,FALSE,FALSE,FALSE,0.03603
FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,1.39968,2.43,0.576,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,TRUE,FALSE,FALSE,FALSE,FALSE,0.035741
FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,1.39968,2.43,0.576,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,TRUE,FALSE,FALSE,FALSE,FALSE,0.035764
FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,1.39968,2.43,0.576,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,TRUE,FALSE,FALSE,FALSE,FALSE,0.03603
